dt,type_id,Только населенный пункт
2021-04-27,3,Сор
2021-04-27,4,Новоаптула
2021-04-27,1,Вагай
2021-04-28,1,Ишим
2021-04-28,1,Чуртан
2021-04-28,1,Сор
2021-04-28,3,Сор
2021-04-28,4,Ишим
2021-04-28,1,Ленинка
2021-04-28,1,Тюмень
2021-04-28,1,Заводоуковск
2021-04-28,5,Армизонское
2021-04-28,1,Менжинское
2021-04-28,1,Тобольск
2021-04-28,4,Тобольск
2021-04-28,1,Богандинское
2021-04-29,3,Тобольск
2021-04-29,1,Тобольск
2021-04-29,1,Яр
2021-04-29,3,Вагай
2021-04-29,1,Ленинка
2021-04-29,1,Караульнояр
2021-04-29,1,Сор
2021-04-29,1,Большое Сорокино
2021-04-29,3,Сор
2021-04-29,1,Покровское
2021-04-29,1,Новоандреевка
2021-04-29,3,Ишим
2021-04-30,1,Сор
2021-04-30,1,Покровское
2021-04-30,1,Тобольск
2021-04-30,1,Чуртан
2021-04-30,4,Тобольск
2021-04-30,1,Тюмень
2021-04-30,1,Богандинское
2021-04-30,1,Яр
2020-04-13,5,Малоскаредное
2020-04-13,5,Партизан
2020-04-13,1,Бегишевское
2021-05-01,1,Сладково
2021-05-01,1,Ишим
2021-05-01,1,Вагай
2021-05-01,1,Яр
2021-05-01,1,Тобольск
2021-05-01,1,Тюмень
2021-05-01,1,Богандинское
2021-05-01,1,Большое Сорокино
2021-05-01,1,Покровское
2021-05-01,5,Вагай
2021-05-01,1,Сор
2021-05-01,3,Ишим
2021-05-01,1,Абатское
2021-05-01,3,Абатское
2021-05-01,4,Покровское
2021-05-01,3,Тобольск
2021-05-01,1,Тахтагул
2021-05-02,1,Вагай
2021-05-02,3,Абатское
2021-05-02,4,Ишим
2021-05-02,1,Абатское
2021-05-02,3,Заводоуковск
2021-05-02,3,Вагай
2021-05-02,3,Тобольск
2021-05-02,1,Тобольск
2021-05-02,5,Тобольск
2021-05-02,3,Преображенка
2021-05-03,3,Тобольск
2021-05-03,1,Вагай
2021-05-03,1,Сор
2021-05-03,4,Ишим
2021-05-03,1,Тобольск
2021-05-03,3,Вагай
2021-05-03,1,Ишим
2021-05-03,1,Чуртан
2021-05-03,1,Кротово
2021-05-03,1,Сартам
2021-05-03,1,Ялуторовск
2021-05-03,1,Дулепина
2021-05-04,1,Сартам
2021-05-04,1,Яр
2021-05-04,1,Дулепина
2021-05-04,1,Покровское
2021-05-04,1,Большой Краснояр
2021-05-04,1,Ишим
2021-05-04,3,Нижнеманай
2021-05-04,1,Калмакское
2021-05-04,3,Тобольск
2021-05-04,1,Тобольск
2021-05-04,3,Вагай
2021-05-04,1,Сор
2021-05-04,1,Чуртан
2021-05-04,3,Абатское
2021-05-04,4,Абатское
2021-05-04,1,Менжинское
2021-05-04,1,Коточиги
2021-05-04,3,Агарак
2021-05-04,3,Богандинское
2021-05-04,5,Надцы
2021-05-05,4,Нижнеманай
2021-05-05,1,Ишим
2021-05-05,4,Абатское
2021-05-05,3,Сартам
2021-05-05,3,Вагай
2021-05-05,3,Тобольск
2021-05-05,1,Овсянникова
2021-05-05,1,Надцы
2021-05-05,1,Яр
2021-05-05,1,Тобольск
2021-05-05,3,Тахтагул
2021-05-05,5,Тобольск
2021-05-05,1,Ачимово
2021-05-05,1,Сартам
2021-05-05,1,Сор
2021-05-05,1,Чуртан
2021-05-05,3,Богандинское
2021-05-05,1,Вагай
2021-05-05,1,Менжинское
2021-05-05,1,Ялуторовск
2021-05-05,3,Агарак
2021-05-05,1,Бердюжье
2021-05-05,1,Абатское
2021-05-06,1,Менжинское
2021-05-06,1,Ишим
2021-05-06,3,Сартам
2021-05-06,1,Сартам
2021-05-06,3,Вагай
2021-05-06,3,Тобольск
2021-05-06,1,Тобольск
2021-05-06,1,Вагай
2021-05-06,1,Чуртан
2021-05-06,3,Ишим
2021-05-06,4,Ишим
2021-05-07,3,Вагай
2021-05-07,1,Ишим
2021-05-07,3,Ишим
2021-05-07,1,Яр
2021-05-07,3,Тобольск
2021-05-07,1,Вагай
2021-05-07,3,Сартам
2021-05-07,1,Сартам
2021-05-07,1,Чуртан
2021-05-07,4,Ишим
2021-05-07,3,Тараскуль
2021-05-07,1,Иртыш
2021-05-07,1,Ачимово
2021-05-07,4,Вагай
2021-05-07,3,Агарак
2021-05-08,1,Тобольск
2021-05-08,3,Тобольск
2021-05-08,3,Вагай
2021-05-08,1,Сор
2021-05-08,3,Аромашево
2021-05-08,3,Ишим
2021-05-08,1,Чуртан
2021-05-08,3,Сартам
2021-05-08,1,Менжинское
2021-05-08,1,Сартам
2021-05-08,3,Калинино
2021-05-08,1,Яр
2021-05-08,1,Новотроицкое
2021-05-08,4,Ишим
2021-05-08,1,Елань
2021-05-08,1,Ачимово
2021-05-08,1,Вагай
2021-05-09,1,Ишим
